"rating","author","date_iso","text","platform","organization"
"5.0","Александр Шушпанов","2025-06-15","Хороший автосалон, выбор машин есть на разный ценовой сегмент, помогли выбрать машину под свои потребности, менеджер Владимир помог с выбором, к сожалению когда пришли оформляться его не было, но помогли оформиться без проблем","2GIS","avtolotsman_probeg"
"5.0","Андрей Гусев","2024-07-26","Не давно искали семейный автомобиль и нашли подходящий вариант в этом автосалоне. Выбор большой на любой кошелёк. Хочу отметить менеджера Никиту, профессионал своего дела. Грамотно провел консультацию, все показал рассказал. Оперативно подготовил документы на оформление и даже после покупки всегда на связи и отвечает на вопросы. Единственное, что было бы приятно это в день покупки получить свеже помытый автомобиль. А так в целом все на отлично. Рекомендую!","2GIS","avtolotsman_probeg"
"1.0","Евгений Михеев","2024-01-29","Доброго времени суток! Всем потенциальным покупателям совет, не обращайтесь в этот салон подержанных авто. Моя история такая: искал автомобиль и казалось бы нашёл у этого автосалона(Автолоцман), при общении с менеджером Михаилом всё казалось прозрачным и честным, но на самом деле оказалось наоборот. Миша- менеджер просто по сути и по жизни очень плохой и бессовестный человек, то что я летел к ним из Сибири за 3000км, его это ни как не останавливало он продолжал врать. В общем выводы делайте сами. Фото осмотренного авто прилагаю: Опель Вектра 2.0 175л.с. МКПП-утопленник!","2GIS","avtolotsman_probeg"
"5.0","Анжелика Смородинова","2025-08-18","Приезжала, чтобы приглядеться поближе к китайским авто. Мне понравилось отношение менеджера. Ненавязчивое, конкретное, уважительное. Съездили на тест-драйв, я влюбилась в кулрей, буду брать в ближайшее время. Спасибо ребятам!","2GIS","avtolotsman"
"2.0","иван","2025-07-16","Не советую","2GIS","avtolotsman"
"1.0","Иван Потопальский","2025-07-12","Безответственная работа мастера-приемщика кузовного цеха. Автомобиль выдан грязный, в пыли, с кривыми зазорами. К мастерам проводившим ТО по замене масла вопросов нет, спасибо что согласились быстро исправить организационные косяки своих коллег","2GIS","avtolotsman"
"5.0","Дмитрий Лукоянов","2024-03-08","Порядочные сотрудники, человеческий подход к проблеме с авто","2GIS","kia_avtolotsman"
"5.0","Илья Форостянка","2025-09-29","Автосалон шикарный, персонал готов активно помочь, пришлось обращаться в салон из саратовской области привести машину. Произвели гарантийный ремонт замену двигателя, быстро, всегда держали на связи, мастер приемщик Сергей Паника вежливый , профессионал своего дела, было приятно пообщаться, все объяснил и показал по машине, москвич 6. Всем рекомендую!!! 👍","2GIS","mazda_avtolotsman"
"5.0","Владимир Гусейнов","2025-09-22","Хочу сказать спасибо ребятам из сервиса Мазда Елистратову Алексею, ну и в общем всем. Грамотно сделали диагностику и выполнили ремонт. Очень доволен. Всем рекомендую. Ещё раз спасибо","2GIS","mazda_avtolotsman"
"5.0","Сергей Солёнов","2025-09-20","Хочу выразить благодарность автоэлектрику Шишову Станиславу. Грамотный специалист, добродушный, знающий своё дело. Рекомендую. 👍","2GIS","mazda_avtolotsman"
"5.0","Кузнецова Юлия","2025-04-22","Специалисты высокого уровня, все быстро и профессионально. Салон предоставляет хорошие скидки что б клиенты возвращались на обслуживание особенно если авто уже не на гарантии)","2GIS","mazda_avtolotsman"
"5.0","Геннадий Иванович Коваль","2024-12-20","Отзывчивый, вежливый и профессиональный персонал в сервисе Шкода.","2GIS","mazda_avtolotsman"
"5.0","Иван Паличев","2024-11-07","Отличная слаженная работа менеджеров по сервису, по запчастям и собственно самого сервиса. Всё что нужно по запчвстям предложили в нескольких вариантах, объяснили что и как, и сделали быстро и качественно. Очень доволен посещением этого сервиса. Отдельная благодарность Николаю Подкопаеву и Алексею Кузьмичеву за подробные разъяснения по всем вопросам и решение моих проблем с Кодиаком и запчастями к нему","2GIS","mazda_avtolotsman"
"5.0","Татьяна Фролова","2024-08-03","Заезжала с поломкой машины. Сотрудник, Н.Подкопаев очень внимательно выслушал, принял машину в работу, все разъяснил. Очень вежливый и грамотный специалист. Спасибо за работу! Работой сервиса довольна.","2GIS","mazda_avtolotsman"
"5.0","Sberid User","2024-07-23","Будучи в командировке в г. Пензе обратился к официальному дилеру Шкоды с ФВ Пассатом: нужно было заменить тормозную жидкость и антифриз перед поездкой в отпуск. Всё сделали в лучшем виде - быстро, профессионально, аккуратно. Спасибо мастерам-приемщикам за вежливое и уважительное отношение и пунктуальность: оформление всех необходимых документов при сдаче и получении автомобиля заняло минимум времени, всё подробно рассказали/объяснили что и как по времени, работам и запчастям. Жалко, что ВАГ отключил дилеров от фирменного ПО: с удовольствием бы приехал в Автолоцман со своими электронными вопрросами. Спасибо за отличную работу!","2GIS","mazda_avtolotsman"
"5.0","Sberid User","2024-05-31","Вот это сервис! Вот это подход! Все отлично, но особенно хотелось бы отметить мастера Алексея Федосова! Спасибо и успехов!","2GIS","mazda_avtolotsman"
"5.0","Кристина Кольчугина","2024-04-01","Ребята оформили за 1 час машину, все быстро и четко!","2GIS","mazda_avtolotsman"
"5.0","Дмитрий Немков","2023-12-20","Прошел комплексную диагностику и замену масла в двигателе по акции от mazda. Сделали быстро, дали развернутую информацию по состоянию авто и рекомендации по эксплуатации и обслуживанию. Отдельное спасибо менеджеру Сергею!","2GIS","mazda_avtolotsman"
